pid,image_id,y_true,fold
RU-A1156,img_2919fb9629af8eb6,1,4
RU-A1156,img_d113fcf2b340674b,1,4
RU-A1048,img_615157a6f6318fc0,1,0
RU-A1048,img_1af1a8ac1245dd39,1,0
RU-A1048,img_0434b8184663ea6a,1,0
RU-A1048,img_1347dbe04673e854,1,0
RU-A1048,img_5e7df910a2c0ac34,1,0
RU-A1048,img_01a97ea00547c5bf,1,0
RU-A1048,img_cdd19bc4e12d3f46,1,0
RU-A1048,img_a2d37942a0dbbc96,1,0
RU-A1048,img_5410faa7cb69fefd,1,0
RU-A1048,img_02224c7fbd4dd58a,1,0
RU-A1048,img_76da8f0577c13e22,1,0
RU-A1048,img_77a1e9fda7d6f6ed,1,0
RU-A1048,img_393086b1d76cf2e3,1,0
RU-A1048,img_2daa10ddecff8b06,1,0
RU-A1048,img_583fd0ffd3a7fae2,1,0
RU-A1048,img_7efb7f864b447cc7,1,0
RU-A1048,img_5cc8a8b1f0819e10,1,0
RU-A1048,img_0ada6a07b5b250db,1,0
RU-A1048,img_2dc9bdc31e605b73,1,0
RU-A1048,img_19c1e67cae61b925,1,0
RU-A1048,img_f905a8654c65f429,1,0
RU-A1048,img_da5f0762a08801b8,1,0
RU-A1048,img_9e431fa94056e03b,1,0
RU-A1048,img_552958db4b80a3c8,1,0
RU-A1080,img_53d27e21f6293a1a,0,3
RU-A1080,img_e4462661e8adeeaa,0,3
RU-A1080,img_b7c02f7e41a921b7,0,3
RU-A1080,img_f6c8588b96713ccc,0,3
RU-A1080,img_e7e6926b0c5d8fe3,0,3
RU-A1080,img_763a8069a29b9b05,0,3
RU-A1080,img_a0004c6821cef0f7,0,3
RU-A1080,img_a98e6efe9c8de603,0,3
RU-A1080,img_cb025e3782630dbe,0,3
RU-A1080,img_8f18c4773b2ced5b,0,3
RU-A1080,img_49be88c649c5c5be,0,3
RU-A1089,img_e22a379091047774,1,1
RU-A1089,img_bdfb8c59d943520a,1,1
RU-A1099,img_ced36bdbc001ccc5,1,2
RU-A1099,img_934d287b5ca033af,1,2
RU-A1099,img_605490138f3b6cce,1,2
RU-A1099,img_5f889a4ac2057fb5,1,2
RU-A1099,img_026898dfaf220c28,1,2
RU-A1099,img_09b90c24774e7828,1,2
RU-A1099,img_ca690feda1d750fa,1,2
RU-A1099,img_76769bde8f825629,1,2
RU-A1107,img_9d423112ae60515f,1,0
RU-A1107,img_70c41eda32a6d457,1,0
RU-A1107,img_698fb297a7c6039d,1,0
RU-A1107,img_5a3419b739374530,1,0
