pid,image_id,y_true,fold
RU-A1156,img_2919fb9629af8eb6,1,3
RU-A1156,img_d113fcf2b340674b,1,3
RU-A1048,img_8f9a44bea6a42f53,1,0
RU-A1048,img_615157a6f6318fc0,1,0
RU-A1048,img_1af1a8ac1245dd39,1,0
RU-A1048,img_0434b8184663ea6a,1,0
RU-A1048,img_1347dbe04673e854,1,0
RU-A1048,img_5e7df910a2c0ac34,1,0
RU-A1048,img_01a97ea00547c5bf,1,0
RU-A1048,img_2304df2aacc876f7,1,0
RU-A1048,img_b12dcc3a6511f07e,1,0
RU-A1048,img_cdd19bc4e12d3f46,1,0
RU-A1048,img_a2d37942a0dbbc96,1,0
RU-A1048,img_afd4dca917b2e2a4,1,0
RU-A1048,img_d5d10a64657c06f0,1,0
RU-A1048,img_5410faa7cb69fefd,1,0
RU-A1048,img_02224c7fbd4dd58a,1,0
RU-A1048,img_4cd6f378b1d3490b,1,0
RU-A1048,img_ecfe43303e608d76,1,0
RU-A1048,img_76da8f0577c13e22,1,0
RU-A1048,img_77a1e9fda7d6f6ed,1,0
RU-A1048,img_393086b1d76cf2e3,1,0
RU-A1048,img_2daa10ddecff8b06,1,0
RU-A1048,img_583fd0ffd3a7fae2,1,0
RU-A1048,img_7efb7f864b447cc7,1,0
RU-A1048,img_6d16e816a53174de,1,0
RU-A1048,img_3d47a159b9c2cc0b,1,0
RU-A1048,img_5cc8a8b1f0819e10,1,0
RU-A1048,img_0ada6a07b5b250db,1,0
RU-A1048,img_c15388c3fa938a21,1,0
RU-A1048,img_8a8de340f52f77e0,1,0
RU-A1048,img_2dc9bdc31e605b73,1,0
RU-A1048,img_19c1e67cae61b925,1,0
RU-A1048,img_f905a8654c65f429,1,0
RU-A1048,img_da5f0762a08801b8,1,0
RU-A1048,img_69ab8a2da31db811,1,0
RU-A1048,img_668f31f770b24522,1,0
RU-A1048,img_9e431fa94056e03b,1,0
RU-A1048,img_552958db4b80a3c8,1,0
RU-A1080,img_53d27e21f6293a1a,0,4
RU-A1080,img_e4462661e8adeeaa,0,4
RU-A1080,img_ed05b6d12b2d2d64,0,4
RU-A1080,img_7d20c607d97e0f9d,0,4
RU-A1080,img_b7c02f7e41a921b7,0,4
RU-A1080,img_f6c8588b96713ccc,0,4
RU-A1080,img_8c4c47a820d602cc,0,4
RU-A1080,img_cb27c19db45d745b,0,4
RU-A1080,img_e7e6926b0c5d8fe3,0,4
RU-A1080,img_763a8069a29b9b05,0,4
RU-A1080,img_c2f198b75855ef4f,0,4
RU-A1080,img_24b9cd99bc92a3fd,0,4
RU-A1080,img_a0004c6821cef0f7,0,4
