pid,image_id,y_true,fold
RU-A1173,img_474145cc492f066e,0,2
RU-A1173,img_c2bc3b0823ce25e8,0,2
RU-A1173,img_a1581d05d9e09e82,0,2
RU-A1173,img_dc17ad072614dbc1,0,2
RU-A1173,img_cfc0652194c236b1,0,2
RU-A1173,img_caeb18759adf35bf,0,2
RU-A1187,img_c3a75ec07ada11c4,0,3
RU-A1187,img_7ac05be6c0d0874b,0,3
RU-A1187,img_0e828cfec628878f,0,3
RU-A1187,img_c257d9a250095e12,0,3
RU-A1187,img_e3cc60a92f1cc720,0,3
RU-A1187,img_87714c0ce450b582,0,3
RU-A1187,img_f730b262ab17a03b,0,3
RU-A1187,img_a70e24bb17d0424a,0,3
RU-A1187,img_b9d09002d12267b2,0,3
RU-A1187,img_dbe43d7f1aebc86e,0,3
RU-A1187,img_e82888408a75feac,0,3
RU-A1187,img_c0a5fa102d3ac925,0,3
RU-A1187,img_d1e7b9bdc82b3374,0,3
RU-A1187,img_4f4fbd922a94e47a,0,3
RU-A1187,img_e92b00e68fbbadd3,0,3
RU-A1187,img_cc45aeed85bfecbe,0,3
RU-A1180,img_cd397b0d9ecf47f0,1,2
RU-A1180,img_393ec7b9e30d2f75,1,2
RU-A1180,img_0f8708dd28c0c6a2,1,2
RU-A1180,img_2f545a0153a81f16,1,2
RU-A1174,img_911e870cdcd4c81c,0,1
RU-A1174,img_b2aed690e8c4c9bc,0,1
RU-A1174,img_f36e96f062e30882,0,1
RU-A1174,img_a89458ee08d9234d,0,1
RU-A1174,img_a3bd3548e065fb08,0,1
RU-A1174,img_162e4b67fbec4122,0,1
RU-A1142,img_be8b52f81a7c5c10,0,4
RU-A1142,img_87949fb5179d8b00,0,4
RU-A1142,img_c19e9b005aaa5d23,0,4
RU-A1142,img_8c22864542a6f7c0,0,4
RU-A1142,img_fb668f1077eda51c,0,4
RU-A1142,img_7cc7144cec4b84eb,0,4
RU-A1142,img_7d91012929a86444,0,4
RU-A1142,img_418510ce09d0e4e5,0,4
RU-A1142,img_7db5170793ebb92c,0,4
RU-A1142,img_d7ca36d102287298,0,4
