pid,image_id,y_true,fold
RU-A1156,img_2919fb9629af8eb6,1,4
RU-A1156,img_d113fcf2b340674b,1,4
RU-A1048,img_615157a6f6318fc0,0,4
RU-A1048,img_1af1a8ac1245dd39,0,4
RU-A1048,img_0434b8184663ea6a,1,4
RU-A1048,img_1347dbe04673e854,1,4
RU-A1080,img_e7e6926b0c5d8fe3,1,3
RU-A1080,img_763a8069a29b9b05,1,3
RU-A1080,img_a0004c6821cef0f7,1,3
RU-A1080,img_a0004c6821cef0f7,1,3
RU-A1080,img_a98e6efe9c8de603,1,3
RU-A1080,img_cb025e3782630dbe,1,3
RU-A1080,img_8f18c4773b2ced5b,0,3
RU-A1080,img_49be88c649c5c5be,0,3
RU-A1089,img_e22a379091047774,0,2
RU-A1089,img_bdfb8c59d943520a,0,2
RU-A1099,img_ca690feda1d750fa,0,2
RU-A1099,img_76769bde8f825629,0,2
RU-A1107,img_698fb297a7c6039d,0,2
RU-A1107,img_5a3419b739374530,0,2
RU-A1016,img_23ca300f480bc79f,1,3
RU-A1016,img_1a7a1dd3d46fc9a1,1,3
RU-A1016,img_70a1cef338771195,0,3
RU-A1016,img_7a817b858d664095,0,3
RU-A1052,img_bb88c76ad332f52c,0,0
RU-A1052,img_6b9803ba9e3f4d39,0,0
RU-A1058,img_8ca9b1dfea8f445b,1,4
RU-A1058,img_1448eb37b91dfbf2,1,4
RU-A1058,img_a813e15ee1fb49a5,1,4
RU-A1058,img_6b4c91c46e2ee9e7,1,4
RU-A1058,img_6e04fb5a35747565,0,4
RU-A1058,img_6cb909bef7a2df08,0,4
RU-A1074,img_a0861ea9e7660989,1,4
RU-A1074,img_e145a6fa6dd942f6,1,4
RU-A1074,img_31f3a4018f5dd8d0,0,4
RU-A1074,img_c944a6f2be7b4fe9,0,4
RU-A1098,img_31a7b21a748aed23,0,4
RU-A1098,img_1cccaf4a04648eb1,0,4
RU-A1068,img_df1bb1f949077480,1,4
RU-A1068,img_ccdb8b939171d9df,1,4
RU-A1068,img_1480e4fb992468df,1,4
RU-A1068,img_93521b4fc9a39744,1,4
RU-A1068,img_0ef6c053a1efa9cb,0,4
RU-A1068,img_25d8ce440d731440,0,4
RU-A1069,img_b7487da3d4cbfd51,1,2
RU-A1069,img_de7f3391803d823e,1,2
RU-A1069,img_ec74d794cb0c8612,1,2
RU-A1069,img_fd9e9ef128d318ca,1,2
RU-A1069,img_1958472f7c720185,1,2
RU-A1069,img_1c977fc3cb36e35c,1,2
