rater,group,sens,spec,n_img,n_pos_img
SSIRATER01,Non-surgeon,0.1481,0.9902,435,27
SSIRATER02,Non-surgeon,0.2963,0.9093,435,27
SSIRATER03,Non-surgeon,0.3704,0.875,435,27
SSIRATER04,Non-surgeon,0.2963,0.723,435,27
SSIRATER05,Surgeon,0.2593,0.9779,435,27
SSIRATER06,Surgeon,0.4074,0.8922,435,27
SSIRATER07,Non-surgeon,0.4815,0.6863,435,27
SSIRATER09,Non-surgeon,0.6667,0.576,435,27
SSIRATER10,Non-surgeon,0.5556,0.652,435,27
SSIRATER11,Non-surgeon,0.4074,0.8505,435,27
SSIRATER12,Surgeon,0.1852,0.9608,435,27
SSIRATER13,Surgeon,0.4815,0.5956,435,27
SSIRATER14,Surgeon,0.1481,0.9902,435,27
SSIRATER16,Surgeon,0.1481,0.9779,435,27
SSIRATER17,Surgeon,0.8148,0.0956,435,27
