threshold,clinical_intraop,image,combined,treat_all
0.02,0.0768,0.0792,0.0768,0.0768
0.04,0.0575,0.0694,0.0575,0.0575
0.06,0.0378,0.0608,0.0411,0.0375
0.08,0.0234,0.048,0.0236,0.0166
0.1,0.0032,0.0423,0.0063,-0.0053
0.12,0.0117,0.032,0.0104,-0.0281
0.14,0.0064,0.0269,0.0104,-0.052
0.16,0.0077,0.0159,0.0077,-0.0771
0.18,0.0037,0.0009,0.0074,-0.1034
0.2,0.0036,-0.0048,0.0071,-0.131
0.22,0.0034,-0.0139,0.0082,-0.16
0.24,0.0033,-0.0128,0.0033,-0.1905
0.26,0.0031,-0.0156,0.0031,-0.2227
0.28,-0.0019,-0.009,0.0029,-0.2566
0.3,-0.002,-0.0054,0.0027,-0.2925
