model,probe,probe_patient_auroc,model_patient_auroc,model_minus_probe,lo,hi,p_two_sided,spearman_model_vs_probe
full_image,pod_only,0.6597,0.7247,0.065,-0.1725,0.304,0.59,0.036
full_image,acquisition,0.6721,0.7247,0.0526,-0.1017,0.2026,0.425,0.32
full_image,behavior_past_only,0.6858,0.7247,0.039,-0.1247,0.1986,0.617,0.179
full_image,acq+beh+pod,0.7363,0.7247,-0.0115,-0.1568,0.1289,0.892,0.38
wound_only,pod_only,0.6597,0.6699,0.0101,-0.207,0.2283,0.879,0.147
wound_only,acquisition,0.6721,0.6699,-0.0023,-0.2199,0.2125,0.974,0.165
wound_only,behavior_past_only,0.6858,0.6699,-0.0159,-0.1917,0.1558,0.85,0.15
wound_only,acq+beh+pod,0.7363,0.6699,-0.0664,-0.2612,0.1451,0.51,0.268
background_only,pod_only,0.6597,0.8213,0.1616,-0.0404,0.3503,0.097,0.014
background_only,acquisition,0.6721,0.8213,0.1492,-0.0159,0.3166,0.076,0.32
background_only,behavior_past_only,0.6858,0.8213,0.1355,-0.0084,0.2797,0.068,0.126
background_only,acq+beh+pod,0.7363,0.8213,0.085,-0.0694,0.2408,0.284,0.358
