threshold,clinical_intraop,clinical_intraop_lo,clinical_intraop_hi,image,image_lo,image_hi,combined,combined_lo,combined_hi
0.02,0.0768,0.0379,0.1158,0.0792,0.0402,0.1276,0.0768,0.0379,0.1205
0.04,0.0575,0.0179,0.1022,0.0694,0.0298,0.1125,0.0575,0.0179,0.0972
0.06,0.0378,-0.0024,0.0786,0.0608,0.0238,0.104,0.0411,0.0006,0.0858
0.08,0.0234,-0.0143,0.0638,0.048,0.012,0.0874,0.0236,-0.0128,0.0619
0.1,0.0032,-0.019,0.0291,0.0423,0.0063,0.0762,0.0063,-0.0175,0.0344
0.12,0.0117,-0.0019,0.0288,0.032,0.0013,0.065,0.0104,-0.0045,0.0273
0.14,0.0064,-0.0047,0.0215,0.0269,-0.0048,0.0609,0.0104,-0.0047,0.0279
0.16,0.0077,-0.0036,0.0229,0.0159,-0.0125,0.049,0.0077,-0.0027,0.0229
0.18,0.0037,-0.0031,0.0143,0.0009,-0.0244,0.0305,0.0074,-0.0031,0.0228
0.2,0.0036,-0.0036,0.0143,-0.0048,-0.0274,0.0202,0.0071,-0.0036,0.0215
0.22,0.0034,-0.004,0.0143,-0.0139,-0.0329,0.0064,0.0082,-0.0027,0.0238
0.24,0.0033,-0.0045,0.0143,-0.0128,-0.0313,0.0073,0.0033,-0.0045,0.0143
0.26,0.0031,-0.005,0.0143,-0.0156,-0.0335,0.0035,0.0031,-0.0034,0.0143
0.28,-0.0019,-0.0056,0.0,-0.009,-0.0259,0.009,0.0029,-0.0056,0.0143
0.3,-0.002,-0.0061,0.0,-0.0054,-0.0184,0.0089,0.0027,-0.0041,0.0143
